group_id,arrival_time,group_size,dining_time,wait_time,served,assigned_table
1,4.18,2,27.0,0.82,1,T1(cap=2)
2,13.6,3,50.0,0.4,1,T15(cap=4)
3,22.4,2,40.0,0.6,1,T2(cap=2)
4,26.63,1,40.0,0.37,1,T3(cap=2)
5,30.38,6,73.0,0.62,1,T29(cap=6)
6,33.08,4,53.0,0.92,1,T16(cap=4)
7,37.97,2,28.0,0.03,1,T1(cap=2)
8,41.57,6,60.0,0.43,1,T30(cap=6)
9,42.55,2,34.0,0.45,1,T4(cap=2)
10,43.43,4,72.0,0.57,1,T17(cap=4)
11,49.5,3,64.0,0.5,1,T18(cap=4)
12,51.97,2,27.0,0.03,1,T5(cap=2)
13,53.63,1,30.0,0.37,1,T6(cap=2)
14,55.87,2,36.0,0.13,1,T7(cap=2)
15,57.33,3,42.0,0.67,1,T19(cap=4)
16,58.35,4,77.0,0.65,1,T20(cap=4)
17,59.77,3,74.0,0.23,1,T21(cap=4)
18,60.05,4,47.0,0.95,1,T22(cap=4)
19,61.85,4,80.0,0.15,1,T23(cap=4)
20,64.38,1,26.0,0.62,1,T2(cap=2)
21,64.97,2,40.0,0.03,1,T8(cap=2)
22,65.2,2,33.0,0.8,1,T1(cap=2)
23,65.88,1,36.0,0.12,1,T9(cap=2)
24,67.93,2,32.0,0.07,1,T3(cap=2)
25,69.58,3,76.0,0.42,1,T15(cap=4)
26,71.28,3,59.0,0.72,1,T24(cap=4)
27,71.6,3,65.0,0.4,1,T25(cap=4)
28,72.08,4,68.0,0.92,1,T26(cap=4)
29,72.82,4,68.0,0.18,1,T27(cap=4)
30,72.87,2,32.0,0.13,1,T10(cap=2)
31,72.92,3,57.0,0.08,1,T28(cap=4)
32,73.27,3,45.0,0.73,1,T31(cap=6)
33,73.7,4,52.0,0.3,1,T32(cap=6)
34,73.75,4,59.0,0.25,1,T33(cap=6)
35,74.88,2,34.0,0.12,1,T11(cap=2)
36,75.0,4,67.0,0.0,1,T34(cap=6)
38,75.15,1,38.0,0.85,1,T12(cap=2)
39,76.35,2,33.0,0.65,1,T4(cap=2)
41,78.67,1,38.0,0.33,1,T5(cap=2)
42,78.93,2,25.0,0.07,1,T13(cap=2)
43,79.58,2,34.0,0.42,1,T14(cap=2)
45,80.35,2,25.0,3.65,1,T6(cap=2)
37,75.05,4,50.0,11.95,1,T16(cap=4)
46,81.12,2,37.0,9.88,1,T2(cap=2)
48,83.12,2,30.0,8.88,1,T7(cap=2)
52,86.12,2,34.0,12.88,1,T1(cap=2)
44,80.33,3,45.0,19.67,1,T19(cap=4)
56,88.58,2,25.0,11.42,1,T3(cap=2)
40,76.67,5,90.0,25.33,1,T30(cap=6)
57,89.9,2,27.0,12.1,1,T9(cap=2)
47,82.0,3,60.0,22.0,1,T29(cap=6)
65,98.42,2,38.0,5.58,1,T13(cap=2)
70,105.88,2,39.0,0.12,1,T8(cap=2)
50,84.37,4,80.0,23.63,1,T22(cap=4)
51,84.67,4,49.0,29.33,1,T18(cap=4)
53,86.12,4,62.0,29.88,1,T17(cap=4)
76,115.5,2,35.0,0.5,1,T4(cap=2)
78,117.43,2,34.0,0.57,1,T5(cap=2)
49,84.33,6,77.0,34.67,1,T31(cap=6)
80,119.93,2,34.0,0.07,1,T6(cap=2)
54,87.58,3,49.0,38.42,1,T32(cap=6)
58,90.27,4,48.0,39.73,1,T28(cap=4)
59,90.72,3,56.0,40.28,1,T24(cap=4)
55,87.77,6,61.0,45.23,1,T33(cap=6)
60,92.6,4,65.0,41.4,1,T21(cap=4)
85,134.38,2,27.0,0.62,1,T1(cap=2)
61,92.62,4,53.0,43.38,1,T20(cap=4)
62,93.13,4,80.0,43.87,1,T16(cap=4)
66,98.47,3,69.0,38.53,1,T25(cap=4)
67,101.15,3,48.0,39.85,1,T26(cap=4)
69,104.57,3,60.0,36.43,1,T27(cap=4)
63,96.8,5,55.0,45.2,1,T34(cap=6)
71,109.78,3,63.0,32.22,1,T23(cap=4)
74,112.03,3,64.0,32.97,1,T19(cap=4)
75,114.33,4,79.0,31.67,1,T15(cap=4)
90,148.3,2,30.0,0.7,1,T2(cap=2)
92,152.35,2,28.0,0.65,1,T3(cap=2)
93,152.57,1,26.0,0.43,1,T4(cap=2)
77,115.78,3,56.0,47.22,1,T18(cap=4)
64,98.28,6,58.0,65.72,1,T29(cap=6)
68,102.1,5,77.0,72.9,1,T32(cap=6)
83,134.2,4,77.0,43.8,1,T17(cap=4)
86,135.4,4,50.0,42.6,1,T28(cap=4)
72,110.02,5,65.0,70.98,0,None
73,110.57,5,74.0,70.43,0,None
79,118.5,5,98.0,62.5,0,None
81,121.53,6,89.0,59.47,0,None
82,123.57,5,87.0,57.43,0,None
84,134.3,5,54.0,46.7,0,None
87,142.13,4,47.0,38.87,0,None
88,142.83,5,82.0,38.17,0,None
89,146.13,3,45.0,34.87,0,None
91,151.35,5,51.0,29.65,0,None
94,152.6,3,65.0,28.4,0,None
95,156.8,3,53.0,24.2,0,None
